2024-11-13 20:29:33.251 [main] INFO  c.a.xiaohashu.oss.biz.XiaohashuOssBizApplication - Starting XiaohashuOssBizApplication using Java 17.0.2 with PID 32852 (E:\java_workspace\project\xiaohashu\xiaohashu\xiaohashu-oss\xiaohashu-oss-biz\target\classes started by xu in E:\java_workspace\project\xiaohashu\xiaohashu)
2024-11-13 20:29:33.254 [main] INFO  c.a.xiaohashu.oss.biz.XiaohashuOssBizApplication - The following 1 profile is active: "dev"
2024-11-13 20:29:34.349 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2024-11-13 20:29:34.361 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-11-13 20:29:34.361 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2024-11-13 20:29:34.453 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-13 20:29:34.454 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1155 ms
2024-11-13 20:29:34.799 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2024-11-13 20:29:34.806 [main] INFO  c.a.xiaohashu.oss.biz.XiaohashuOssBizApplication - Started XiaohashuOssBizApplication in 2.155 seconds (process running for 3.23)
2024-11-13 21:06:12.920 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2024-11-13 21:06:12.981 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2024-11-13 21:06:13.184 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
